iter	Passed	Remaining
0	152	152613
1	153	76692
2	154	51286
3	154	38568
4	155	30939
5	156	25851
6	156	22219
7	157	19493
8	157	17372
9	158	15673
10	158	14283
11	159	13127
12	160	12149
13	160	11309
14	161	10581
15	161	9943
16	162	9381
17	162	8881
18	163	8435
19	163	8032
20	164	7668
21	165	7338
22	165	7035
23	166	6758
24	166	6510
25	167	6290
26	168	6079
27	169	5880
28	170	5694
29	170	5521
30	171	5359
31	172	5209
32	173	5071
33	173	4937
34	174	4807
35	174	4684
36	175	4567
37	176	4457
38	176	4351
39	177	4252
40	177	4157
41	178	4067
42	178	3981
43	179	3899
44	180	3820
45	180	3745
46	181	3673
47	181	3606
48	182	3540
49	183	3477
50	183	3416
51	184	3356
52	184	3300
53	185	3245
54	185	3193
55	186	3144
56	187	3095
57	187	3048
58	188	3002
59	188	2958
60	189	2914
61	189	2873
62	190	2833
63	191	2794
64	191	2756
65	192	2719
66	192	2684
67	193	2645
68	193	2611
69	194	2579
70	194	2547
71	195	2517
72	195	2486
73	196	2457
74	197	2429
75	197	2401
76	198	2375
77	198	2348
78	199	2322
79	199	2297
80	200	2273
81	200	2249
82	201	2226
83	202	2204
84	202	2179
85	203	2158
86	203	2135
87	204	2114
88	204	2094
89	205	2074
90	205	2055
91	206	2036
92	206	2017
93	207	1999
94	208	1981
95	208	1963
96	209	1946
97	209	1929
98	210	1913
99	210	1897
100	211	1881
101	211	1864
102	212	1849
103	212	1834
104	213	1819
105	214	1809
106	215	1797
107	215	1783
108	216	1769
109	217	1756
110	217	1743
111	218	1730
112	218	1717
113	219	1704
114	219	1692
115	220	1679
116	220	1667
117	221	1656
118	222	1644
119	222	1632
120	223	1621
121	223	1610
122	224	1597
123	224	1586
124	225	1576
125	225	1565
126	226	1557
127	227	1546
128	227	1536
129	228	1527
130	228	1517
131	229	1508
132	229	1498
133	230	1489
134	231	1480
135	231	1471
136	232	1462
137	232	1453
138	233	1444
139	233	1436
140	234	1427
141	234	1419
142	235	1410
143	235	1402
144	236	1394
145	237	1386
146	237	1379
147	238	1371
148	238	1363
149	239	1356
150	239	1348
151	240	1341
152	240	1334
153	242	1329
154	242	1323
155	243	1317
156	244	1311
157	244	1304
158	245	1297
159	245	1291
160	246	1284
161	247	1277
162	247	1271
163	248	1265
164	248	1258
165	249	1252
166	249	1246
167	250	1240
168	250	1233
169	251	1228
170	252	1222
171	252	1216
172	253	1210
173	253	1204
174	254	1199
175	254	1193
176	255	1188
177	256	1183
178	256	1178
179	257	1172
180	257	1166
181	258	1160
182	258	1155
183	259	1150
184	259	1145
185	260	1139
186	261	1134
187	261	1129
188	262	1124
189	262	1119
190	263	1115
191	263	1110
192	264	1105
193	264	1100
194	265	1095
195	266	1091
196	266	1086
197	267	1081
198	267	1077
199	268	1072
200	268	1068
201	269	1063
202	269	1059
203	270	1055
204	271	1051
205	271	1047
206	272	1042
207	272	1038
208	273	1034
209	273	1030
210	274	1026
211	275	1022
212	275	1018
213	276	1014
214	276	1010
215	277	1006
216	277	1002
217	278	998
218	278	994
219	279	990
220	280	987
221	280	983
222	281	979
223	281	975
224	282	972
225	282	968
226	283	964
227	283	961
228	284	957
229	285	954
230	285	950
231	286	947
232	286	944
233	287	940
234	287	937
235	288	934
236	289	930
237	289	927
238	290	923
239	290	920
240	291	917
241	291	913
242	292	910
243	292	907
244	293	904
245	293	900
246	294	897
247	295	894
248	295	891
249	296	888
250	296	885
251	297	882
252	297	879
253	298	876
254	298	873
255	299	870
256	300	867
257	300	864
258	301	862
259	301	859
260	302	856
261	303	853
262	303	850
263	304	847
264	304	845
265	305	842
266	305	839
267	306	836
268	306	833
269	307	831
270	307	828
271	308	825
272	309	823
273	309	820
274	310	817
275	310	815
276	311	812
277	311	809
278	312	807
279	312	804
280	313	802
281	314	799
282	314	797
283	315	795
284	317	795
285	318	795
286	319	794
287	320	792
288	321	790
289	321	787
290	322	785
291	323	783
292	323	781
293	324	779
294	325	777
295	325	775
296	326	772
297	327	770
298	327	768
299	328	765
300	328	763
301	329	761
302	329	758
303	330	756
304	331	754
305	331	752
306	332	749
307	332	747
308	333	745
309	333	743
310	334	740
311	334	738
312	335	736
313	336	734
314	336	731
315	337	729
316	337	727
317	338	725
318	338	723
319	339	721
320	339	718
321	340	717
322	341	715
323	342	713
324	342	711
325	343	709
326	343	707
327	344	705
328	345	703
329	345	701
330	346	699
