iter	Passed	Remaining
0	317	316830
1	320	159811
2	321	106994
3	323	80533
4	325	64718
5	326	54136
6	328	46582
7	329	40904
8	332	36558
9	334	33099
10	335	30195
11	337	27777
12	339	25742
13	340	23993
14	342	22474
15	343	21143
16	346	20019
17	349	19060
18	351	18137
19	353	17306
20	355	16592
21	358	15926
22	361	15357
23	364	14807
24	366	14276
25	367	13780
26	370	13348
27	372	12928
28	376	12591
29	378	12226
30	379	11874
31	381	11544
32	383	11244
33	386	10971
34	390	10761
35	392	10513
36	394	10265
37	396	10033
38	398	9816
39	400	9604
40	401	9400
41	405	9255
42	407	9076
43	409	8904
44	411	8738
45	413	8573
46	414	8410
47	416	8257
48	419	8138
49	421	8002
50	422	7867
51	424	7737
52	425	7601
53	426	7470
54	427	7345
55	429	7234
56	430	7118
57	431	7002
58	432	6892
59	432	6782
60	433	6676
61	434	6572
62	435	6472
63	435	6375
64	436	6281
65	437	6189
66	438	6100
67	438	6013
68	439	5928
69	440	5845
70	440	5765
71	442	5704
72	443	5632
73	444	5563
74	445	5492
75	446	5423
76	446	5354
77	447	5287
78	447	5221
79	448	5157
80	449	5094
81	449	5034
82	450	4971
83	450	4913
84	451	4856
85	451	4801
86	452	4747
87	452	4694
88	453	4642
89	454	4591
90	454	4541
91	455	4493
92	455	4445
93	458	4415
94	459	4374
95	459	4330
96	460	4286
97	461	4243
98	461	4200
99	462	4159
100	462	4119
101	463	4079
102	463	4040
103	464	4001
104	465	3964
105	465	3927
106	466	3891
107	466	3855
108	467	3820
109	467	3786
110	468	3752
111	469	3719
112	469	3687
113	470	3655
114	470	3623
115	472	3603
116	473	3577
117	474	3549
118	475	3522
119	476	3494
120	477	3465
121	477	3437
122	478	3409
123	478	3382
124	479	3355
125	479	3328
126	480	3302
127	480	3276
128	481	3251
129	482	3226
130	482	3201
131	483	3177
132	483	3153
133	484	3130
134	484	3107
135	485	3084
136	486	3062
137	490	3064
138	491	3047
139	493	3030
140	494	3012
141	495	2991
142	495	2971
143	496	2952
144	497	2932
145	498	2913
146	498	2894
147	499	2875
148	500	2856
149	500	2838
150	502	2825
151	504	2812
152	505	2797
153	506	2782
154	507	2768
155	509	2754
156	510	2739
157	511	2725
158	512	2711
159	513	2696
160	514	2679
161	514	2663
162	515	2648
163	517	2638
164	519	2628
165	520	2614
166	521	2600
167	522	2585
168	522	2569
169	523	2554
170	523	2540
171	524	2525
172	525	2510
173	525	2496
174	526	2481
175	527	2467
176	527	2453
177	528	2438
178	528	2424
179	529	2411
180	530	2398
181	530	2385
182	532	2377
183	533	2366
184	534	2354
185	535	2341
186	535	2328
187	536	2316
188	536	2303
189	537	2290
190	537	2278
191	538	2268
192	539	2256
193	540	2244
194	540	2232
195	541	2221
196	542	2209
197	542	2197
198	543	2186
199	543	2174
200	544	2163
201	544	2152
202	545	2141
203	546	2130
204	548	2128
205	550	2120
206	551	2110
207	552	2101
208	552	2092
209	553	2083
210	554	2074
211	555	2065
212	556	2056
213	557	2047
214	558	2037
215	558	2028
216	559	2018
217	559	2008
218	560	1998
219	561	1989
220	562	1984
221	564	1976
222	564	1968
223	565	1960
224	566	1952
225	567	1944
226	568	1935
227	568	1926
228	569	1917
229	570	1908
230	570	1900
231	571	1891
232	571	1882
233	572	1874
234	573	1865
235	573	1857
236	574	1848
237	574	1840
238	575	1832
239	575	1823
240	576	1816
241	577	1810
242	578	1803
243	579	1795
244	580	1788
245	580	1780
246	581	1773
247	582	1765
248	582	1757
249	583	1750
250	584	1742
251	584	1735
252	585	1727
253	585	1720
254	586	1712
255	586	1705
256	587	1698
257	588	1691
258	588	1684
259	589	1677
260	589	1670
261	590	1663
262	591	1656
263	593	1653
264	593	1647
265	594	1640
266	595	1633
267	595	1627
268	596	1620
269	596	1613
270	597	1607
271	598	1600
272	598	1594
273	599	1587
274	599	1581
275	600	1575
276	601	1570
277	602	1564
278	603	1559
279	604	1553
280	604	1547
281	605	1541
282	605	1535
283	607	1531
284	608	1526
285	609	1520
286	609	1515
287	610	1509
288	611	1505
289	612	1499
290	613	1493
291	613	1487
292	614	1482
293	614	1476
294	615	1470
295	616	1465
296	616	1459
297	617	1454
298	617	1448
299	618	1442
300	619	1437
301	619	1432
302	620	1426
303	620	1421
304	622	1418
305	623	1413
306	624	1409
307	624	1403
308	625	1398
309	626	1393
310	626	1388
311	627	1383
312	627	1378
313	628	1373
314	629	1368
315	629	1363
316	630	1357
317	630	1352
318	631	1347
319	632	1343
320	632	1338
321	633	1333
322	633	1328
323	634	1323
324	634	1318
325	635	1313
326	636	1309
327	638	1307
328	639	1303
329	639	1298
330	640	1294
331	640	1289
332	641	1284
333	642	1280
334	642	1275
335	643	1271
336	643	1266
337	644	1261
338	644	1257
339	645	1253
340	646	1248
341	646	1244
342	647	1239
343	647	1235
344	648	1230
345	648	1226
346	649	1222
347	650	1217
348	650	1213
349	651	1209
350	652	1207
351	654	1204
352	655	1200
353	656	1197
354	656	1193
355	657	1189
356	658	1185
357	658	1181
358	659	1177
359	660	1173
360	660	1169
361	661	1165
362	661	1161
363	662	1157
364	662	1153
365	663	1149
366	664	1145
367	664	1141
368	665	1137
369	665	1133
370	666	1130
371	668	1128
372	669	1124
373	669	1121
374	670	1117
